3	Entre tus manos	Entre tus manos esta mi vida señor
11	Hay una unción	Hay una unción aquí, cayendo sobre mi
19	Ríos de alabanza	(H) Hay una fuente en mi M Dícelo al señor
27	Vive 15va Estación	(H) Vive Jesús el señor
35	Aleluya (Martin Valverde)	Ale ale ale lu u ya
43	Cuando un Cristiano Baila	43. Cuando un Cristiano Baila
51	Vamos caminando a la casa del Señor	Por que Cristo a demostrado
59	Mira al Señor	Ritmo: Balada Moderna
67	Unos ojos vieron	Dos tiempos en B7
75	Caminar contigo	Caminar contigo, platicar de cosas
84	Le llaman Jesús 10ma Estación	C, G, F, G, C, G7 Ya cumplió mas de mil años
92	Abraza la Cruz	Abraza la cruz y en ella abraza a Jesus
100	Todas las cosas van bien	Inicio En la vida hay momentos
108	El Profeta	Padre Padre Con Pondre mi fuego en tu boca
116	Niña que nació 4ta Estación	Niña que nació Madre de Jesús
124	Solo Dios	Solo Dios (H) Solo Dios
132	Bautízame Señor	Bautízame Señor con tu Espíritu
141	Oh buen Jesús yo creo firmemente	141. Oh buen Jesús yo creo firmemente
150	Si Conocieras	Todas las C Em F G
158	Como no creer en Dios	Yo te llevo desde niño muy adentro Em B7
166	Aleluya 11	A le lu uya
175	Peregrino a donde vas (Cesareo Gabaraín)	Peregrino por un camino que va-a-amorir
183	El día de Pentecostés	El día de Pentecostés
192	El Tamborilero	El Camino que lleva a Belén,
200	Toma mi mano (Alfareros)	Toma mi vida, hazla de nuevo
209	Ven Espíritu Santo	209. Ven Espíritu Santo
218	Una alabanza a ti	Desde siempre, para siempre
226	Cristo yo te amo (Luis Y Castillo)	226. Cristo yo te amo (Luis Y Castillo)
235	Me has seducido Señor	235. Me has seducido Señor
243	Gloria al Rey	Gloria al Rey. Rey Santo y Justo. Gloria al Rey. Rey Santo y Justo.
254	Madre Maria	Quiero ser, como tu, Maria
271	Sobre tu Altar (Ofertorio)	271. Sobre tu Altar (Ofertorio)
295	El mandato del Señor	295. El mandato del Señor
306	Quebrantame	Oh, Señor mi Dios Quebrántame, toma lo que soy y
318	Cada Vez que recibo	318. Cada Vez que recibo
332	Honor y Gloria	Honor y Gloria a ti Señor Jesus u us
341	Piedad # 1 (Angus Dei)	Padre Dios del cielo
350	Amor Eterno DO	350. Amor Eterno DO
359	Dios te Salve Maria	359. Dios te Salve Maria
370	Sacramento de Amor	370. Sacramento de Amor
