2	Bendito, Bendito	Bendito, bendito, bendito sea Dios
3	Entre tus manos	Entre tus manos esta mi vida señor
4	Juntos como Hermanos	(H) JUNTOS COMO HERMANOS
5	Saliendo del pretorio	G, D Saliendo del pretorio marcha una procesión,
6	Flor y Canto Santo	T = Todos H = Hombres M = Mujeres S = Solista
7	Cuan bello es el Señor	7. Cuan bello es el Señor
8	Dios esta aquí	8. Dios esta aquí
9	El espíritu de Dios	El espíritu de Dios esta,
10	Entrare	H Entrare, entrare, entrare-
11	Hay una unción	Hay una unción aquí, cayendo sobre mi
12	Aleluya 1	Aleluya Alelu Aleluya A le lu ya
13	Espíritu de Dios	13. Espíritu de Dios
14	El Trovador	Fui trovador, me llamaban Francisco, Vestía trajes lujosos de seda,
15	Monte Alvernia	Desde hace ya mucho tiempo, que oi hablar de ti
16	Hombres Nuevos	(H) Danos un corazón (M) grande para amar
17	Hoy en Oración (Entrada)	17. Hoy en Oración (Entrada)
18	Quiero Alabarte	Quiero servirte, más y más aun.
19	Ríos de alabanza	(H) Hay una fuente en mi M Dícelo al señor
20	Vienen con Alegría	20. Vienen con Alegría
21	Experiencia Alvernia	No hay palabras para describir Al salir de allí, al mundo iré
22	Hemos Entregado	Hemos entregado nuestras vidas al Señor
23	Cristo Libertador	Cristo nos da la libertad
24	Santo Juvenil	(M) Santo, Sa a a a anto
25	Venimos ante ti Señor	Venimos ante ti Señor
26	Ya no eres pan y vino	Ritmo: Balada Moderna
27	Vive 15va Estación	(H) Vive Jesús el señor
28	Gloria (Toño)	Te alabamos y te bendecimos,
29	Jesús Cordero de Dios	Jesús cordero de Dios
30	Cordero de Dios Rosita 1	(2S) = Dos solistas cantan
31	Este es el día y el lugar	Este es el día y el lugar Dios esta aquí te quiere hablar Los tonos
32	Esto que te doy	32. Esto que te doy
33	Gloria MSP	A ti que estas a la derecha del Padre
34	Aleluya (Original de Juan Diego)	Aleluya, al Seño o or
35	Aleluya (Martin Valverde)	Ale ale ale lu u ya
36	Padre Nuestro	Padre nuestro F#m
37	Alegría de Vivir	Cantando la alegría de vivir, Entremos por las puertas dando gracias,
38	Santo 1	Santo, Santo, en el cielo
39	Señor Señor, Piedad Piedad	INICIO 1 ACORDE Em
40	Oh Señor Ten Piedad	(H) Oh Señor ten piedad
41	Con estas ofrendas (RE)	Con estas ofrendas yo te pido Señor
42	Amamos a la Alvernia	42. Amamos a la Alvernia
43	Cuando un Cristiano Baila	43. Cuando un Cristiano Baila
44	David	David, David, David, David, David bailaba
45	El diablo esta enojado	45. El diablo esta enojado
46	El Sapo	Había un sapo, sapo, sapo
47	El Tren	Viajar en tren es de lo mejor (3)
48	Ya Llegó	Ritmo Ranchero/cumbia “A” un acorde ……
49	Granito de mostaza	49. Granito de mostaza
50	Canto para XV años	Cada momento de mi vida Cada momento de mi vida
51	Vamos caminando a la casa del Señor	Por que Cristo a demostrado
52	Si en verdad eres salvo	Si en verdad eres salmo di amen
53	El Africanito	A todos nos gusta bailar el africanito (2)
54	Vamos a la casa del Señor	Estamos de Fiesta
55	Caminare	Amo al Señor porque escucha
56	Crea en mi un corazón puro	Crea en mi un corazón puro
57	De aquí hasta el final contigo	57. De aquí hasta el final contigo
58	El alfarero 6ta Estación	Gracias quiero darte por amarme
59	Mira al Señor	Ritmo: Balada Moderna
60	Quiero buscar la paz	Quiero buscar la paz
61	Paz Hermano Paz	Paz hermano paz
62	Tu eres mi amigo del Alma	Tu eres mi hermano del alma realmente mi amigo
63	Otra Véz	Cdda2 Cdda2 D Cdda2 D
64	Si hubiera estado allí	G Em Pensándolo más bien tambíen yo estaba allí
65	Sumérgeme	Cansado del camino
66	Creyendo que creo en ti	Em X 2 (Arp) / / Em X 2 (Arp) / /
67	Unos ojos vieron	Dos tiempos en B7
68	Vino y Pan hoy te ofrecemos	A2 Vino y pan hoy te ofrecemos, recibelos Señor
69	Yo no se a lo que tu has venido	….Alguien pregunta del coro…..
70	Amigo Fiel 8va Estación	Si alguna vez te sientes solo C B
71	Ave Maria (Schubert)(RE)	71. Ave Maria (Schubert)(RE)
72	El Señor es mi fuerza	Ritmo Balada Ritmica Rapida Marcha
73	Cada día que nace	D A Bm (T) Pon tu luz en nuestros ojos oh Señor
74	Camino al monte	74. Camino al monte
75	Caminar contigo	Caminar contigo, platicar de cosas
76	Señor Dios nuestro (Salmo 8)	Ritmo Balada Romantica Lenta
77	Mi Fuerza y mi Poder	Ritmo Balada Ritmica Rapida Marcha
78	Como el Ciervo	Como el ciervo busca por las aguas
79	Eres Jesús 5ta Estación	Para compartir, mi gran soledad
80	Aleluya el Señor Resucito	Ahora tengo la esperanza
81	Una linda canción	81. Una linda canción
