# Verified rows from agent batches 01,02,03,05,06 (197 songs). Format: NUM|STATUS|HOLDER|REGIME|CONF|BASIS
# batch 01
2|PD|traditional|Traditional/None|High|Classic traditional Spanish call-response praise hymn
10|UNKNOWN|?|Unknown|Low|Incipit "Entraré" too generic
18|COPYRIGHT|Unconfirmed (Maranatha-style)|CCLI|Low|Contemporary praise song, not traditional
26|COPYRIGHT|Jorge Luis Bohorquez|CanZion/Indie|High|Named living composer, eucharistic song
34|UNKNOWN|Juan Diego (parish credit)|Unknown|Low|Parish-attributed, not a published work
42|COPYRIGHT|Parish member (unnamed)|Parish-local|High|Title names Alvernia — parish-written
50|UNKNOWN|?|Unknown|Low|Quinceañera song, no author found
58|COPYRIGHT|Martin Verde Barajas|OCP|Med|El Alfarero/Vaso Nuevo, Flor y Canto composer
66|UNKNOWN|?|Unknown|Low|Chord fragment only, no match
74|COPYRIGHT|Isa Villalobos (attrib)|CanZion/Indie|Med|Lenten processional credited to Isa Villalobos
82|COPYRIGHT|Kairy Marquez (setting)|OCP|Med|Psalm 18/19 setting credited to Kairy Marquez
91|COPYRIGHT|Rafael Moreno|OCP|Med|Saname healing song, named composer
99|UNKNOWN|?|Unknown|Low|Multiple same-title songs
107|COPYRIGHT|Ruben Gimenez (possible)|CCLI|Low|Possible match, uncertain
115|COPYRIGHT|Martin Valverde|OCP|Med|Passion narrative, named composer
123|NOTASONG|-|-|-|Rubric/section header, not a song
131|COPYRIGHT|Jesed (band)|CanZion/Indie|Low|Contemporary faith song tied to Jesed
140|COPYRIGHT|Unconfirmed (Kairoi-assoc)|CCLI|Med|Contemporary praise song, not traditional
148|COPYRIGHT|Modern setting (unnamed)|OCP|Low|Senor ten piedad, modern setting
157|UNKNOWN|?|Unknown|Low|Multiple Regalo de Dios songs
165|COPYRIGHT|Barak (band)|CCLI|Low|Contemporary Espiritu Santo Ven
174|COPYRIGHT|Tercer Cielo (assoc)|CCLI|Med|Contemporary ballad
182|COPYRIGHT|Athenas Venica|CanZion/Indie|High|Named group, matches title credit
191|PD|traditional|Traditional/None|High|Traditional Spanish villancico
199|COPYRIGHT|Unconfirmed|Unknown|Low|Contemporary praise, no author
208|UNKNOWN|?|Unknown|Low|No specific song located
216|UNKNOWN|Parish/regional Sabinas|Parish-local|Low|Place-name suggests regional origin
225|COPYRIGHT|Kairy Marquez|OCP|High|Composer named in title
233|COPYRIGHT|Isa Villalobos|CanZion/Indie|High|Composer named in title
242|COPYRIGHT|Marco Barrientos (assoc)|CCLI|Med|Contemporary worship song
253|COPYRIGHT|P. Nestor Gallego|Parish-local|Med|Named priest-composer
270|COPYRIGHT|Cesareo Gabarain|OCP|High|Famous Lenten hymn
294|COPYRIGHT|Wilfran Castillo|CanZion/Indie|High|Named composer
304|COPYRIGHT|Brotes de Olivo (assoc)|CanZion/Indie|Med|Contemporary worship song
317|COPYRIGHT|Jesus Adrian Romero|CanZion/Indie|High|Famous CCM composer
330|PD|traditional (folk)|Traditional/None|High|Iconic traditional folk song
340|COPYRIGHT|Cesareo Gabarain|OCP|High|Named OCP composer
349|UNKNOWN|?|Unknown|Low|Ambiguous fragment
358|COPYRIGHT|Padre Rafael Chavez|OCP|Med|Named priest-composer, 2005
369|COPYRIGHT|Unconfirmed|Unknown|Low|Modern Gloria setting
# batch 02
3|COPYRIGHT|?|Unknown|Med|Contemporary charismatic style
11|COPYRIGHT|?|CanZion/Indie|Med|Contemporary charismatic song
19|COPYRIGHT|Jesus Chuy Olivares|CanZion/Indie|Med|Popularized by Marcos Witt
27|UNKNOWN|?|Unknown|Low|Modern Via Crucis hymn
35|COPYRIGHT|Martin Valverde|CanZion/Indie|High|Composer named in title
43|PD|traditional|Traditional/None|Med|Anonymous communal action-song/folk
51|COPYRIGHT|?|Unknown|Low|Contemporary entrance hymn
59|UNKNOWN|?|Unknown|Low|Not identified
67|UNKNOWN|?|Unknown|Low|Not identified
75|UNKNOWN|?|Unknown|Low|Common title, not identified
84|COPYRIGHT|Palito Ortega|Secular|High|1973 pop hit, repurposed devotionally
92|UNKNOWN|?|Unknown|Low|Contemporary devotional, no author
100|COPYRIGHT|Danni Driggs|CanZion/Indie|Med|Contemporary song
108|COPYRIGHT|?|Unknown|Med|Modern Jeremiah-based devotional
116|UNKNOWN|?|Unknown|Low|Modern Via Crucis hymn
124|UNKNOWN|?|Unknown|Low|Generic title
132|COPYRIGHT|?|CanZion/Indie|Med|Contemporary charismatic song
141|UNKNOWN|?|Unknown|Low|Act-of-Faith style, no origin
150|COPYRIGHT|?|Unknown|Med|Si conocieras el Don de Dios
158|COPYRIGHT|Pedro Favini/Ragone|Secular|Med|Popularized by Wilkins
166|UNKNOWN|?|Unknown|Low|Generic Aleluya
175|COPYRIGHT|Cesareo Gabarain|OCP|High|Famous OCP hymn, composer in title
183|UNKNOWN|?|Unknown|Low|Generic Pentecost title
192|COPYRIGHT|Katherine K. Davis|Secular|High|Carol of the Drum 1941
200|COPYRIGHT|Alfareros|CanZion/Indie|Med|Named group in title
209|UNKNOWN|?|Unknown|Low|Generic Pentecost title
218|COPYRIGHT|Rafael Moreno (uncertain)|Unknown|Low|Possible match, unconfirmed
226|COPYRIGHT|Luis Castillo|CanZion/Indie|Med|Composer named in title
235|COPYRIGHT|?|Unknown|Med|Jeremiah 20:7-based devotional
243|UNKNOWN|?|Unknown|Low|Generic praise chorus
254|UNKNOWN|?|Unknown|Low|Generic Marian title
271|UNKNOWN|?|Unknown|Low|Generic offertory title
295|UNKNOWN|?|Unknown|Low|Generic title
306|COPYRIGHT|?|Unknown|Med|Contemporary surrender song
318|UNKNOWN|?|Unknown|Low|Generic Eucharistic title
332|UNKNOWN|?|Unknown|Low|Generic praise chorus
341|UNKNOWN|?|Unknown|Low|Agnus Dei setting unidentified
350|UNKNOWN|?|Unknown|Low|Generic title
359|PD|traditional|Traditional/None|High|Traditional Ave Maria prayer text
370|UNKNOWN|?|Unknown|Low|Generic Eucharistic title
# batch 03
4|COPYRIGHT|Unknown contemporary|Unknown|Low|Modern title, no traditional basis
12|UNKNOWN|?|Unknown|Low|Generic Aleluya
20|UNKNOWN|?|Unknown|Low|Common contemporary title
28|UNKNOWN|Tono (surname unknown)|Unknown|Low|Gloria setting nicknamed Tono
36|COPYRIGHT|Unknown modern setting|Unknown|Med|Padre Nuestro modern setting
